,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
22,[-2.0632232],"[-3.156892549537, -5.443958226922]",-44.389727,penalty,-0.301706
23,[-2.0277792],"[-3.139842899267, -5.412884396429]",-41.279221,penalty,-0.301706
24,[-1.9923353],"[-3.122793248996, -5.381810565936]",-38.167188,penalty,-0.301706
25,[-1.9568913],"[-3.105743598726, -5.350736735443]",-35.052939,penalty,-0.301706
26,[-1.9214474],"[-3.088693948455, -5.319662904949]",-31.935514,penalty,-0.301706
27,[-1.8860034],"[-3.071644298185, -5.288589074456]",-28.813614,penalty,-0.301705
28,[-1.8505595],"[-3.054594647914, -5.257515243963]",-25.685545,penalty,-0.301705
29,[-1.8151155],"[-3.037544997644, -5.226441413470]",-22.549209,penalty,-0.301702
30,[-1.7796716],"[-3.020495347373, -5.195367582976]",-19.402215,penalty,-0.301684
31,[-1.7442276],"[-3.003445697103, -5.164293752483]",-16.242242,penalty,-0.301554
32,[-1.7087837],"[-2.986396046832, -5.133219921990]",-13.068067,penalty,-0.300699
33,[-1.6733397],"[-2.969346396562, -5.102146091497]",-9.883114,penalty,-0.295402
34,[-1.6378958],"[-2.952296746291, -5.071072261003]",-6.709933,penalty,-0.265709
35,[-1.6024518],"[-2.935247096021, -5.039998430510]",-3.636932,penalty,-0.130387
36,[-1.5670079],"[-2.918197445750, -5.008924600017]",-0.804519,penalty,0.237103
37,[-1.5315639],"[-2.901147795480, -4.977850769524]",0.000000,no penalty,0.039346
38,[-1.4961200],"[-2.884098145209, -4.946776939030]",0.000000,no penalty,0.390414
39,[-1.4606760],"[-2.867048494939, -4.915703108537]",0.000000,no penalty,0.055712
40,[-1.4252321],"[-2.849998844668, -4.884629278044]",0.000000,no penalty,-0.210328
41,[-1.3897882],"[-2.832949194398, -4.853555447551]",0.000000,no penalty,-0.284239
42,[-1.3543442],"[-2.815899544127, -4.822481617057]",0.000000,no penalty,-0.298783
43,[-1.3189003],"[-2.798849893857, -4.791407786564]",0.000000,no penalty,-0.301252
44,[-1.2834563],"[-2.781800243586, -4.760333956071]",0.000000,no penalty,-0.301639
45,[-1.2480124],"[-2.764750593316, -4.729260125578]",0.000000,no penalty,-0.301696
46,[-1.2125684],"[-2.747700943045, -4.698186295084]",0.000000,no penalty,-0.301704
47,[-1.1771245],"[-2.730651292775, -4.667112464591]",0.000000,no penalty,-0.301705
48,[-1.1416805],"[-2.713601642504, -4.636038634098]",0.000000,no penalty,-0.301706
49,[-1.1062366],"[-2.696551992234, -4.604964803605]",0.000000,no penalty,-0.301706
50,[-1.0707926],"[-2.679502341963, -4.573890973111]",0.000000,no penalty,-0.301706
51,[-1.0353487],"[-2.662452691693, -4.542817142618]",0.000000,no penalty,-0.301706
52,[-0.9999047],"[-2.645403041422, -4.511743312125]",0.000000,no penalty,-0.301706
53,[-0.9644608],"[-2.628353391152, -4.480669481632]",0.000000,no penalty,-0.301705
54,[-0.9290168],"[-2.611303740881, -4.449595651138]",0.000000,no penalty,-0.301704
55,[-0.8935729],"[-2.594254090611, -4.418521820645]",0.000000,no penalty,-0.301698
56,[-0.8581289],"[-2.577204440340, -4.387447990152]",0.000000,no penalty,-0.301651
57,[-0.8226850],"[-2.560154790070, -4.356374159659]",0.000000,no penalty,-0.301341
58,[-0.7872410],"[-2.543105139799, -4.325300329165]",0.000000,no penalty,-0.299392
59,[-0.7517971],"[-2.526055489529, -4.294226498672]",0.000000,no penalty,-0.288231
60,[-0.7163531],"[-2.509005839258, -4.263152668179]",0.000000,no penalty,-0.236176
61,[-0.6809092],"[-2.491956188988, -4.232078837686]",0.000000,no penalty,-0.110766
62,[-0.6454652],"[-2.474906538717, -4.201005007192]",0.000000,no penalty,-0.819905
63,[-0.6100213],"[-2.457856888447, -4.169931176699]",0.000000,no penalty,-0.878714
64,[-0.5745773],"[-2.440807238176, -4.138857346206]",0.000000,no penalty,-0.109170
65,[-0.5391334],"[-2.423757587906, -4.107783515713]",0.000000,no penalty,-0.234521
66,[-0.5036894],"[-2.406707937635, -4.076709685219]",0.000000,no penalty,-0.287823
67,[-0.4682455],"[-2.389658287365, -4.045635854726]",0.000000,no penalty,-0.299317
68,[-0.4328015],"[-2.372608637094, -4.014562024233]",0.000000,no penalty,-0.301329
69,[-0.3973576],"[-2.355558986824, -3.983488193739]",0.000000,no penalty,-0.301650
70,[-0.3619136],"[-2.338509336553, -3.952414363246]",0.000000,no penalty,-0.301698
71,[-0.3264697],"[-2.321459686283, -3.921340532753]",0.000000,no penalty,-0.301710
72,[-0.2910257],"[-2.304410036012, -3.890266702260]",0.000000,no penalty,-0.301747
73,[-0.2555818],"[-2.287360385742, -3.859192871766]",0.000000,no penalty,-0.301989
74,[-0.2201378],"[-2.270310735471, -3.828119041273]",0.000000,no penalty,-0.303578
75,[-0.1846939],"[-2.253261085201, -3.797045210780]",0.000000,no penalty,-0.313379
76,[-0.1492499],"[-2.236211434930, -3.765971380287]",0.000000,no penalty,-0.369353
77,[-0.1138060],"[-2.219161784660, -3.734897549793]",0.000000,no penalty,-0.666720
78,[-0.0783620],"[-2.202112134389, -3.703823719300]",0.000000,no penalty,-2.386224
79,[-0.0429181],"[-2.185062484119, -3.672749888807]",0.000000,no penalty,-90.733727
80,[-0.0074741],"[-2.168012833848, -3.641676058314]",0.000000,no penalty,-3.957406
81,[0.0279698],"[-2.150963183578, -3.610602227820]",0.000000,no penalty,-0.876227
82,[0.0634138],"[-2.133913533307, -3.579528397327]",0.000000,no penalty,-0.409138
83,[0.0988577],"[-2.116863883037, -3.548454566834]",0.000000,no penalty,-0.320646
84,[0.1343017],"[-2.099814232766, -3.517380736341]",0.000000,no penalty,-0.304800
85,[0.1697456],"[-2.082764582496, -3.486306905847]",0.000000,no penalty,-0.302181
86,[0.2051895],"[-2.065714932225, -3.455233075354]",0.000000,no penalty,-0.301775
87,[0.2406335],"[-2.048665281955, -3.424159244861]",0.000000,no penalty,-0.301715
88,[0.2760774],"[-2.031615631684, -3.393085414368]",0.000000,no penalty,-0.301707
89,[0.3115214],"[-2.014565981414, -3.362011583874]",0.000000,no penalty,-0.301706
90,[0.3469653],"[-1.997516331143, -3.330937753381]",0.000000,no penalty,-0.301706
91,[0.3824093],"[-1.980466680873, -3.299863922888]",0.000000,no penalty,-0.301706
92,[0.4178532],"[-1.963417030602, -3.268790092395]",0.000000,no penalty,-0.301706
93,[0.4532972],"[-1.946367380332, -3.237716261901]",0.000000,no penalty,-0.301706
94,[0.4887411],"[-1.929317730061, -3.206642431408]",0.000000,no penalty,-0.301706
95,[0.5241851],"[-1.912268079791, -3.175568600915]",0.000000,no penalty,-0.301706
96,[0.5596290],"[-1.895218429520, -3.144494770422]",0.000000,no penalty,-0.301706
97,[0.5950730],"[-1.878168779250, -3.113420939928]",0.000000,no penalty,-0.301706
98,[0.6305169],"[-1.861119128979, -3.082347109435]",0.000000,no penalty,-0.301706
99,[0.6659609],"[-1.844069478709, -3.051273278942]",0.000000,no penalty,-0.301706
100,[0.7014048],"[-1.827019828438, -3.020199448449]",0.000000,no penalty,-0.301706
101,[0.7368488],"[-1.809970178168, -2.989125617955]",0.000000,no penalty,-0.301706
102,[0.7722927],"[-1.792920527897, -2.958051787462]",0.000000,no penalty,-0.301706
103,[0.8077367],"[-1.775870877627, -2.926977956969]",0.000000,no penalty,-0.301706
104,[0.8431806],"[-1.758821227356, -2.895904126476]",0.000000,no penalty,-0.301706
105,[0.8786246],"[-1.741771577086, -2.864830295982]",0.000000,no penalty,-0.301706
106,[0.9140685],"[-1.724721926815, -2.833756465489]",0.000000,no penalty,-0.301706
107,[0.9495125],"[-1.707672276545, -2.802682634996]",0.000000,no penalty,-0.301706
108,[0.9849564],"[-1.690622626274, -2.771608804503]",0.000000,no penalty,-0.301707
109,[1.0204004],"[-1.673572976004, -2.740534974009]",0.000000,no penalty,-0.301716
110,[1.0558443],"[-1.656523325733, -2.709461143516]",0.000000,no penalty,-0.301780
111,[1.0912883],"[-1.639473675463, -2.678387313023]",0.000000,no penalty,-0.302201
112,[1.1267322],"[-1.622424025192, -2.647313482530]",0.000000,no penalty,-0.304840
113,[1.1621762],"[-1.605374374922, -2.616239652036]",0.000000,no penalty,-0.320341
114,[1.1976201],"[-1.588324724651, -2.585165821543]",0.000000,no penalty,-0.407703
115,[1.2330641],"[-1.571275074381, -2.554091991050]",0.000000,no penalty,-0.951444
116,[1.2685080],"[-1.554225424110, -2.523018160557]",0.000000,no penalty,-9.246933
117,[1.3039520],"[-1.537175773840, -2.491944330063]",0.000000,no penalty,-3.384861
118,[1.3393959],"[-1.520126123569, -2.460870499570]",0.000000,no penalty,-0.668746
119,[1.3748399],"[-1.503076473299, -2.429796669077]",0.000000,no penalty,-0.364370
120,[1.4102838],"[-1.486026823028, -2.398722838583]",0.000000,no penalty,-0.312590
121,[1.4457278],"[-1.468977172758, -2.367649008090]",0.000000,no penalty,-0.303152
122,[1.4811717],"[-1.451927522487, -2.336575177597]",0.000000,no penalty,-0.299735
123,[1.5166157],"[-1.434877872217, -2.305501347104]",0.000000,no penalty,-0.288976
124,[1.5520596],"[-1.417828221946, -2.274427516610]",0.000000,no penalty,-0.244658
125,[1.5875036],"[-1.400778571676, -2.243353686117]",0.000000,no penalty,-0.205304
126,[1.6229475],"[-1.383728921405, -2.212279855624]",0.000000,no penalty,-2.281831
127,[1.6583915],"[-1.366679271135, -2.181206025131]",0.000000,no penalty,-0.804455
128,[1.6938354],"[-1.349629620864, -2.150132194637]",0.000000,no penalty,-0.195143
129,[1.7292794],"[-1.332579970594, -2.119058364144]",0.000000,no penalty,-0.263359
130,[1.7647233],"[-1.315530320323, -2.087984533651]",0.000000,no penalty,-0.293921
131,[1.8001673],"[-1.298480670053, -2.056910703158]",0.000000,no penalty,-0.300384
132,[1.8356112],"[-1.281431019782, -2.025836872664]",0.000000,no penalty,-0.301499
133,[1.8710551],"[-1.264381369512, -1.994763042171]",0.000000,no penalty,-0.301675
134,[1.9064991],"[-1.247331719241, -1.963689211678]",0.000000,no penalty,-0.301701
135,[1.9419430],"[-1.230282068971, -1.932615381185]",0.000000,no penalty,-0.301705
136,[1.9773870],"[-1.213232418700, -1.901541550691]",0.000000,no penalty,-0.301705
137,[2.0128309],"[-1.196182768430, -1.870467720198]",0.000000,no penalty,-0.301706
138,[2.0482749],"[-1.179133118159, -1.839393889705]",0.000000,no penalty,-0.301706
139,[2.0837188],"[-1.162083467889, -1.808320059212]",0.000000,no penalty,-0.301706
140,[2.1191628],"[-1.145033817618, -1.777246228718]",0.000000,no penalty,-0.301706
141,[2.1546067],"[-1.127984167348, -1.746172398225]",0.000000,no penalty,-0.301706
142,[2.1900507],"[-1.110934517077, -1.715098567732]",0.000000,no penalty,-0.301706
143,[2.2254946],"[-1.093884866807, -1.684024737239]",0.000000,no penalty,-0.301706
144,[2.2609386],"[-1.076835216536, -1.652950906745]",0.000000,no penalty,-0.301706
145,[2.2963825],"[-1.059785566266, -1.621877076252]",0.000000,no penalty,-0.301706
146,[2.3318265],"[-1.042735915995, -1.590803245759]",0.000000,no penalty,-0.301706
147,[2.3672704],"[-1.025686265725, -1.559729415266]",0.000000,no penalty,-0.301706
148,[2.4027144],"[-1.008636615454, -1.528655584772]",0.000000,no penalty,-0.301706
149,[2.4381583],"[-0.991586965184, -1.497581754279]",0.000000,no penalty,-0.301706
150,[2.4736023],"[-0.974537314913, -1.466507923786]",0.000000,no penalty,-0.301706
151,[2.5090462],"[-0.957487664643, -1.435434093293]",0.000000,no penalty,-0.301706
152,[2.5444902],"[-0.940438014372, -1.404360262799]",0.000000,no penalty,-0.301706
153,[2.5799341],"[-0.923388364102, -1.373286432306]",0.000000,no penalty,-0.301706
154,[2.6153781],"[-0.906338713831, -1.342212601813]",0.000000,no penalty,-0.301706
155,[2.6508220],"[-0.889289063561, -1.311138771320]",0.000000,no penalty,-0.301706
156,[2.6862660],"[-0.872239413290, -1.280064940826]",0.000000,no penalty,-0.301706
157,[2.7217099],"[-0.855189763020, -1.248991110333]",0.000000,no penalty,-0.301706
158,[2.7571539],"[-0.838140112749, -1.217917279840]",0.000000,no penalty,-0.301706
159,[2.7925978],"[-0.821090462479, -1.186843449347]",0.000000,no penalty,-0.301706
160,[2.8280418],"[-0.804040812208, -1.155769618853]",0.000000,no penalty,-0.301706
161,[2.8634857],"[-0.786991161938, -1.124695788360]",0.000000,no penalty,-0.301706
162,[2.8989297],"[-0.769941511667, -1.093621957867]",0.000000,no penalty,-0.301706
163,[2.9343736],"[-0.752891861397, -1.062548127374]",0.000000,no penalty,-0.301706
164,[2.9698176],"[-0.735842211126, -1.031474296880]",0.000000,no penalty,-0.301706
165,[3.0052615],"[-0.718792560856, -1.000400466387]",0.000000,no penalty,-0.301706
166,[3.0407055],"[-0.701742910585, -0.969326635894]",-3.067336,penalty,-0.301706
167,[3.0761494],"[-0.684693260315, -0.938252805401]",-6.174719,penalty,-0.301706
168,[3.1115934],"[-0.667643610044, -0.907178974907]",-9.282103,penalty,-0.301706
169,[3.1470373],"[-0.650593959774, -0.876105144414]",-12.389486,penalty,-0.301706
170,[3.1824813],"[-0.633544309503, -0.845031313921]",-15.496869,penalty,-0.301706
171,[3.2179252],"[-0.616494659233, -0.813957483427]",-18.604252,penalty,-0.301706
172,[3.2533692],"[-0.599445008962, -0.782883652934]",-21.711635,penalty,-0.301706
173,[3.2888131],"[-0.582395358692, -0.751809822441]",-24.819018,penalty,-0.301706
174,[3.3242571],"[-0.565345708421, -0.720735991948]",-27.926401,penalty,-0.301706
175,[3.3597010],"[-0.548296058151, -0.689662161454]",-31.033784,penalty,-0.301706
176,[3.3951450],"[-0.531246407880, -0.658588330961]",-34.141167,penalty,-0.301706
177,[3.4305889],"[-0.514196757610, -0.627514500468]",-37.248550,penalty,-0.301706
178,[3.4660329],"[-0.497147107339, -0.596440669975]",-40.355933,penalty,-0.301706
179,[3.5014768],"[-0.480097457069, -0.565366839481]",-43.463316,penalty,-0.301706
180,[3.5369207],"[-0.463047806798, -0.534293008988]",-46.570699,penalty,-0.301706
181,[3.5723647],"[-0.445998156528, -0.503219178495]",-49.678082,penalty,-0.301706
182,[3.6078086],"[-0.428948506257, -0.472145348002]",-52.785465,penalty,-0.301706
183,[3.6432526],"[-0.411898855987, -0.441071517508]",-55.892848,penalty,-0.301706
184,[3.6786965],"[-0.394849205716, -0.409997687015]",-59.000231,penalty,-0.301706
185,[3.7141405],"[-0.377799555446, -0.378923856522]",-62.107614,penalty,-0.301706
186,[3.7495844],"[-0.360749905175, -0.347850026029]",-65.214997,penalty,-0.301706
187,[3.7850284],"[-0.343700254905, -0.316776195535]",-68.322380,penalty,-0.301706
188,[3.8204723],"[-0.326650604634, -0.285702365042]",-71.429763,penalty,-0.301706
189,[3.8559163],"[-0.309600954364, -0.254628534549]",-74.537147,penalty,-0.301706
190,[3.8913602],"[-0.292551304093, -0.223554704056]",-77.644530,penalty,-0.301706
191,[3.9268042],"[-0.275501653823, -0.192480873562]",-80.751913,penalty,-0.301706
192,[3.9622481],"[-0.258452003552, -0.161407043069]",-83.859296,penalty,-0.301706
193,[3.9976921],"[-0.241402353282, -0.130333212576]",-86.966679,penalty,-0.301706
194,[4.0331360],"[-0.224352703011, -0.099259382083]",-90.074062,penalty,-0.301706
195,[4.0685800],"[-0.207303052741, -0.068185551589]",-93.181445,penalty,-0.301706
196,[4.1040239],"[-0.190253402470, -0.037111721096]",-96.288828,penalty,-0.301706
197,[4.1394679],"[-0.173203752200, -0.006037890603]",-99.396211,penalty,-0.301706
198,[4.1749118],"[-0.156154101929, 0.025035939890]",-102.503594,penalty,-0.301706
199,[4.2103558],"[-0.139104451659, 0.056109770384]",-105.610977,penalty,-0.301706
200,[4.2457997],"[-0.122054801388, 0.087183600877]",-108.718360,penalty,-0.301706
201,[4.2812437],"[-0.105005151118, 0.118257431370]",-111.825743,penalty,-0.301706
202,[4.3166876],"[-0.087955500847, 0.149331261863]",-114.933126,penalty,-0.301706
203,[4.3521316],"[-0.070905850577, 0.180405092357]",-118.040509,penalty,-0.301706
204,[4.3875755],"[-0.053856200306, 0.211478922850]",-121.147892,penalty,-0.301706
205,[4.4230195],"[-0.036806550036, 0.242552753343]",-124.255275,penalty,-0.301706
206,[4.4584634],"[-0.019756899765, 0.273626583836]",-127.362658,penalty,-0.301706
207,[4.4939074],"[-0.002707249495, 0.304700414330]",-130.470041,penalty,-0.301706
208,[4.5293513],"[0.014342400776, 0.335774244823]",-133.577424,penalty,-0.301706
209,[4.5647953],"[0.031392051046, 0.366848075316]",-136.684808,penalty,-0.301706
210,[4.6002392],"[0.048441701317, 0.397921905809]",-139.792191,penalty,-0.301706
211,[4.6356832],"[0.065491351587, 0.428995736303]",-142.899574,penalty,-0.301706
212,[4.6711271],"[0.082541001858, 0.460069566796]",-146.006957,penalty,-0.301706
213,[4.7065711],"[0.099590652128, 0.491143397289]",-149.114340,penalty,-0.301706
214,[4.7420150],"[0.116640302399, 0.522217227782]",-152.221723,penalty,-0.301706
215,[4.7774590],"[0.133689952669, 0.553291058276]",-155.329106,penalty,-0.301706
216,[4.8129029],"[0.150739602940, 0.584364888769]",-158.436489,penalty,-0.301706
217,[4.8483469],"[0.167789253210, 0.615438719262]",-161.543872,penalty,-0.301706
218,[4.8837908],"[0.184838903481, 0.646512549756]",-164.651255,penalty,-0.301706
219,[4.9192348],"[0.201888553751, 0.677586380249]",-167.758638,penalty,-0.301706
220,[4.9546787],"[0.218938204022, 0.708660210742]",-170.866021,penalty,-0.301706
221,[4.9901227],"[0.235987854292, 0.739734041235]",-173.973404,penalty,-0.301706
222,[5.0255666],"[0.253037504563, 0.770807871729]",-177.080787,penalty,-0.301706
223,[5.0610106],"[0.270087154833, 0.801881702222]",-180.188170,penalty,-0.301706
224,[5.0964545],"[0.287136805104, 0.832955532715]",-183.295553,penalty,-0.301706
225,[5.1318985],"[0.304186455374, 0.864029363208]",-186.402936,penalty,-0.301706
226,[5.1673424],"[0.321236105645, 0.895103193702]",-189.510319,penalty,-0.301706
227,[5.2027863],"[0.338285755915, 0.926177024195]",-192.617702,penalty,-0.301706
228,[5.2382303],"[0.355335406186, 0.957250854688]",-195.725085,penalty,-0.301706
229,[5.2736742],"[0.372385056456, 0.988324685181]",-198.832469,penalty,-0.301706
230,[5.3091182],"[0.389434706727, 1.019398515675]",-201.939852,penalty,-0.301706
231,[5.3445621],"[0.406484356997, 1.050472346168]",-205.047235,penalty,-0.301706
232,[5.3800061],"[0.423534007268, 1.081546176661]",-208.154618,penalty,-0.301706
233,[5.4154500],"[0.440583657538, 1.112620007154]",-211.262001,penalty,-0.301706
234,[5.4508940],"[0.457633307809, 1.143693837648]",-214.369384,penalty,-0.301706
235,[5.4863379],"[0.474682958079, 1.174767668141]",-217.476767,penalty,-0.301706
236,[5.5217819],"[0.491732608350, 1.205841498634]",-220.584150,penalty,-0.301706
237,[5.5572258],"[0.508782258620, 1.236915329127]",-223.691533,penalty,-0.301706
238,[5.5926698],"[0.525831908891, 1.267989159621]",-226.798916,penalty,-0.301706
239,[5.6281137],"[0.542881559161, 1.299062990114]",-229.906299,penalty,-0.301706
240,[5.6635577],"[0.559931209432, 1.330136820607]",-233.013682,penalty,-0.301706
241,[5.6990016],"[0.576980859702, 1.361210651100]",-236.121065,penalty,-0.301706
242,[5.7344456],"[0.594030509973, 1.392284481594]",-239.228448,penalty,-0.301706
243,[5.7698895],"[0.611080160243, 1.423358312087]",-242.335831,penalty,-0.301706
244,[5.8053335],"[0.628129810514, 1.454432142580]",-245.443214,penalty,-0.301706
245,[5.8407774],"[0.645179460784, 1.485505973073]",-248.550597,penalty,-0.301706
246,[5.8762214],"[0.662229111055, 1.516579803567]",-251.657980,penalty,-0.301706
247,[5.9116653],"[0.679278761325, 1.547653634060]",-254.765363,penalty,-0.301706
248,[5.9471093],"[0.696328411596, 1.578727464553]",-257.872746,penalty,-0.301706
249,[5.9825532],"[0.713378061866, 1.609801295046]",-260.980130,penalty,-0.301706
250,[6.0179972],"[0.730427712137, 1.640875125540]",-264.087513,penalty,-0.301706
251,[6.0534411],"[0.747477362407, 1.671948956033]",-267.194896,penalty,-0.301706
252,[6.0888851],"[0.764527012678, 1.703022786526]",-270.302279,penalty,-0.301706
253,[6.1243290],"[0.781576662948, 1.734096617019]",-273.409662,penalty,-0.301706
254,[6.1597730],"[0.798626313219, 1.765170447513]",-276.517045,penalty,-0.301706
255,[6.1952169],"[0.815675963489, 1.796244278006]",-279.624428,penalty,-0.301706
256,[6.2306609],"[0.832725613760, 1.827318108499]",-282.731811,penalty,-0.301706
257,[6.2661048],"[0.849775264030, 1.858391938992]",-285.839194,penalty,-0.301706
258,[6.3015488],"[0.866824914301, 1.889465769486]",-288.946577,penalty,-0.301706
259,[6.3369927],"[0.883874564571, 1.920539599979]",-292.053960,penalty,-0.301706
260,[6.3724367],"[0.900924214842, 1.951613430472]",-295.161343,penalty,-0.301706
261,[6.4078806],"[0.917973865112, 1.982687260965]",-298.268726,penalty,-0.301706
262,[6.4433246],"[0.935023515383, 2.013761091459]",-301.376109,penalty,-0.301706
263,[6.4787685],"[0.952073165653, 2.044834921952]",-304.483492,penalty,-0.301706
264,[6.5142125],"[0.969122815924, 2.075908752445]",-307.590875,penalty,-0.301706
265,[6.5496564],"[0.986172466194, 2.106982582938]",-310.698258,penalty,-0.301706
266,[6.5851004],"[1.003222116465, 2.138056413432]",-313.805641,penalty,-0.301706
267,[6.6205443],"[1.020271766735, 2.169130243925]",-316.913024,penalty,-0.301706
268,[6.6559883],"[1.037321417006, 2.200204074418]",-320.020407,penalty,-0.301706
269,[6.6914322],"[1.054371067276, 2.231277904912]",-323.127790,penalty,-0.301706
270,[6.7268762],"[1.071420717547, 2.262351735405]",-326.235174,penalty,-0.301706
271,[6.7623201],"[1.088470367817, 2.293425565898]",-329.342557,penalty,-0.301706
272,[6.7977641],"[1.105520018088, 2.324499396391]",-332.449940,penalty,-0.301706
273,[6.8332080],"[1.122569668358, 2.355573226885]",-335.557323,penalty,-0.301706
274,[6.8686519],"[1.139619318629, 2.386647057378]",-338.664706,penalty,-0.301706
275,[6.9040959],"[1.156668968899, 2.417720887871]",-341.772089,penalty,-0.301706
276,[6.9395398],"[1.173718619170, 2.448794718364]",-346.206122,penalty,-0.301706
277,[6.9749838],"[1.190768269440, 2.479868548858]",-351.018470,penalty,-0.301706
278,[7.0104277],"[1.207817919711, 2.510942379351]",-355.830819,penalty,-0.301706
279,[7.0458717],"[1.224867569981, 2.542016209844]",-360.643167,penalty,-0.301706
280,[7.0813156],"[1.241917220252, 2.573090040337]",-365.455515,penalty,-0.301706
281,[7.1167596],"[1.258966870522, 2.604163870831]",-370.267863,penalty,-0.301706
282,[7.1522035],"[1.276016520793, 2.635237701324]",-375.080211,penalty,-0.301706
283,[7.1876475],"[1.293066171063, 2.666311531817]",-379.892559,penalty,-0.301706
284,[7.2230914],"[1.310115821334, 2.697385362310]",-384.704907,penalty,-0.301706
285,[7.2585354],"[1.327165471604, 2.728459192804]",-389.517255,penalty,-0.301706
286,[7.2939793],"[1.344215121875, 2.759533023297]",-394.329603,penalty,-0.301706
287,[7.3294233],"[1.361264772145, 2.790606853790]",-399.141951,penalty,-0.301706
288,[7.3648672],"[1.378314422416, 2.821680684283]",-403.954299,penalty,-0.301706
289,[7.4003112],"[1.395364072686, 2.852754514777]",-408.766647,penalty,-0.301706
290,[7.4357551],"[1.412413722957, 2.883828345270]",-413.578995,penalty,-0.301706
291,[7.4711991],"[1.429463373227, 2.914902175763]",-418.391344,penalty,-0.301706
292,[7.5066430],"[1.446513023498, 2.945976006256]",-423.203692,penalty,-0.301706
293,[7.5420870],"[1.463562673768, 2.977049836750]",-428.016040,penalty,-0.301706
294,[7.5775309],"[1.480612324039, 3.008123667243]",-432.828388,penalty,-0.301706
295,[7.6129749],"[1.497661974309, 3.039197497736]",-437.640736,penalty,-0.301706
296,[7.6484188],"[1.514711624580, 3.070271328229]",-442.453084,penalty,-0.301706
297,[7.6838628],"[1.531761274850, 3.101345158723]",-447.265432,penalty,-0.301706
298,[7.7193067],"[1.548810925121, 3.132418989216]",-452.077780,penalty,-0.301706
299,[7.7547507],"[1.565860575391, 3.163492819709]",-456.890128,penalty,-0.301706
300,[7.7901946],"[1.582910225662, 3.194566650202]",-461.702476,penalty,-0.301706
301,[7.8256386],"[1.599959875932, 3.225640480696]",-466.514824,penalty,-0.301706
302,[7.8610825],"[1.617009526203, 3.256714311189]",-471.327172,penalty,-0.301706
303,[7.8965265],"[1.634059176473, 3.287788141682]",-476.139520,penalty,-0.301706
304,[7.9319704],"[1.651108826744, 3.318861972175]",-480.951869,penalty,-0.301706
305,[7.9674144],"[1.668158477014, 3.349935802669]",-485.764217,penalty,-0.301706
306,[8.0028583],"[1.685208127285, 3.381009633162]",-490.576565,penalty,-0.301706
307,[8.0383023],"[1.702257777555, 3.412083463655]",-495.388913,penalty,-0.301706
308,[8.0737462],"[1.719307427826, 3.443157294148]",-500.201261,penalty,-0.301706
309,[8.1091902],"[1.736357078096, 3.474231124642]",-505.013609,penalty,-0.301706
310,[8.1446341],"[1.753406728367, 3.505304955135]",-509.825957,penalty,-0.301706
311,[8.1800781],"[1.770456378637, 3.536378785628]",-514.638305,penalty,-0.301706
312,[8.2155220],"[1.787506028908, 3.567452616121]",-519.450653,penalty,-0.301706
313,[8.2509660],"[1.804555679178, 3.598526446615]",-524.263001,penalty,-0.301706
314,[8.2864099],"[1.821605329449, 3.629600277108]",-529.075349,penalty,-0.301706
315,[8.3218539],"[1.838654979719, 3.660674107601]",-533.887697,penalty,-0.301706
316,[8.3572978],"[1.855704629990, 3.691747938094]",-538.700045,penalty,-0.301706
